epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2682,1.33702,1.82286,0.91182,0.99614,0.92521,0.99369,0.5347,1.13718,2.40944,0.81272,0.0006,0.0006,0.0006
2,32.9994,0.91849,0.69512,0.82406,0.48225,0.47133,0.48835,0.31042,1.20169,1.97678,0.82681,0.00121597,0.00121597,0.00121597
3,49.6534,0.93556,0.66058,0.82358,0.9964,0.99107,0.99485,0.74929,0.85181,1.1999,0.78802,0.00182786,0.00182786,0.00182786
4,65.7771,0.85935,0.5857,0.81819,0.99554,1,0.99436,0.79612,0.7488,0.69711,0.78479,0.0019802,0.0019802,0.0019802
5,81.9962,0.83653,0.56378,0.81691,0.99642,0.99847,0.99498,0.82185,0.70795,0.54325,0.78254,0.0019736,0.0019736,0.0019736
6,98.4353,0.8406,0.5342,0.81473,0.99801,1,0.995,0.78952,0.85213,0.48671,0.79766,0.001967,0.001967,0.001967
7,114.983,0.76461,0.48019,0.80595,0.99921,0.99821,0.995,0.78646,0.81855,0.47509,0.79162,0.0019604,0.0019604,0.0019604
8,131.278,0.7175,0.44894,0.79948,0.99757,1,0.99493,0.83577,0.70837,0.47465,0.78167,0.0019538,0.0019538,0.0019538
9,147.449,0.70472,0.43147,0.79918,0.99606,1,0.99498,0.8423,0.64805,0.42068,0.77748,0.0019472,0.0019472,0.0019472
10,160.951,0.73797,0.42937,0.8023,0.99591,1,0.99491,0.85549,0.62071,0.40619,0.77682,0.0019406,0.0019406,0.0019406
11,177.305,0.71871,0.42585,0.80223,0.99878,0.99821,0.995,0.85408,0.59873,0.39042,0.77343,0.001934,0.001934,0.001934
12,193.587,0.68671,0.39732,0.79204,0.9946,0.99056,0.99486,0.7911,0.82292,0.42729,0.79112,0.0019274,0.0019274,0.0019274
13,209.638,0.66951,0.38725,0.7951,0.99643,0.9993,0.99496,0.82892,0.67342,0.37779,0.77902,0.0019208,0.0019208,0.0019208
14,225.286,0.65203,0.376,0.79459,0.99907,1,0.995,0.79833,0.76647,0.44707,0.78442,0.0019142,0.0019142,0.0019142
15,241.483,0.66465,0.37242,0.79148,0.99943,1,0.995,0.85449,0.57313,0.36643,0.77099,0.0019076,0.0019076,0.0019076
16,257.401,0.66398,0.37084,0.79505,0.9996,0.99642,0.995,0.84363,0.66309,0.38116,0.77499,0.001901,0.001901,0.001901
17,273.447,0.64532,0.35724,0.79175,1,0.99963,0.995,0.86357,0.61793,0.35956,0.77405,0.0018944,0.0018944,0.0018944
18,289.347,0.63765,0.34522,0.79261,0.99913,1,0.995,0.82472,0.68769,0.39138,0.77801,0.0018878,0.0018878,0.0018878
19,302.724,0.63058,0.34733,0.79068,0.99954,1,0.995,0.86036,0.58548,0.35091,0.76925,0.0018812,0.0018812,0.0018812
20,318.664,0.61507,0.34174,0.78626,1,0.99946,0.995,0.83273,0.72594,0.39006,0.78236,0.0018746,0.0018746,0.0018746
21,334.714,0.63878,0.3498,0.78599,0.99609,1,0.995,0.86789,0.61214,0.34451,0.77493,0.001868,0.001868,0.001868
22,350.6,0.62565,0.33707,0.78629,0.99981,1,0.995,0.85365,0.62736,0.34283,0.77483,0.0018614,0.0018614,0.0018614
23,366.475,0.6183,0.34666,0.78893,0.99983,1,0.995,0.86253,0.60871,0.33163,0.77098,0.0018548,0.0018548,0.0018548
24,382.345,0.62095,0.35493,0.78847,0.99955,1,0.995,0.87169,0.59503,0.38184,0.77095,0.0018482,0.0018482,0.0018482
25,398.42,0.59676,0.33519,0.78694,0.99971,1,0.995,0.89377,0.51194,0.33399,0.76734,0.0018416,0.0018416,0.0018416
26,413.339,0.59777,0.32613,0.78354,0.99974,1,0.995,0.88674,0.52773,0.34133,0.76909,0.001835,0.001835,0.001835
27,428.315,0.60484,0.32212,0.78806,0.99982,1,0.995,0.88201,0.54157,0.31749,0.76915,0.0018284,0.0018284,0.0018284
28,441.715,0.57705,0.3188,0.78427,0.99978,1,0.995,0.87696,0.51545,0.33145,0.76707,0.0018218,0.0018218,0.0018218
29,456.662,0.5885,0.32649,0.78691,0.99852,1,0.995,0.86129,0.58769,0.31013,0.76928,0.0018152,0.0018152,0.0018152
30,472.67,0.60969,0.32524,0.7861,0.99948,1,0.995,0.79778,0.85144,0.40902,0.79026,0.0018086,0.0018086,0.0018086
31,487.737,0.64369,0.34126,0.7865,0.9998,1,0.995,0.89053,0.50595,0.31721,0.76498,0.001802,0.001802,0.001802
32,502.716,0.62074,0.33722,0.78636,0.99976,1,0.995,0.87247,0.57063,0.32282,0.77192,0.0017954,0.0017954,0.0017954
33,518.648,0.57561,0.3208,0.7855,0.9998,1,0.995,0.87727,0.5602,0.30663,0.76788,0.0017888,0.0017888,0.0017888
34,534.611,0.54091,0.29583,0.7812,0.9993,1,0.995,0.87821,0.54226,0.31602,0.76792,0.0017822,0.0017822,0.0017822
35,549.569,0.56578,0.31414,0.78208,0.9958,0.98925,0.99491,0.88137,0.53185,0.33317,0.76765,0.0017756,0.0017756,0.0017756
36,565.249,0.54096,0.30122,0.78255,0.99971,0.99642,0.995,0.84791,0.65961,0.31982,0.77305,0.001769,0.001769,0.001769
37,578.751,0.58599,0.31364,0.78456,0.99979,1,0.995,0.89738,0.50132,0.29322,0.76514,0.0017624,0.0017624,0.0017624
38,592.563,0.5558,0.30266,0.78169,0.99974,1,0.995,0.87193,0.53391,0.30041,0.76607,0.0017558,0.0017558,0.0017558
39,606.455,0.53274,0.29177,0.78422,0.99985,1,0.995,0.88141,0.54152,0.30416,0.76904,0.0017492,0.0017492,0.0017492
40,620.133,0.52377,0.28787,0.78012,0.99987,1,0.995,0.87182,0.56642,0.31633,0.76982,0.0017426,0.0017426,0.0017426
41,634.378,0.53621,0.29611,0.78092,0.99982,1,0.995,0.84944,0.66166,0.36855,0.77567,0.001736,0.001736,0.001736
42,648.585,0.55191,0.29781,0.78167,0.99977,1,0.995,0.91712,0.44577,0.28053,0.7634,0.0017294,0.0017294,0.0017294
43,662.83,0.52173,0.27994,0.78063,0.99981,1,0.995,0.87178,0.57436,0.31808,0.77233,0.0017228,0.0017228,0.0017228
44,677.28,0.55179,0.29654,0.78039,0.99854,1,0.995,0.87185,0.53627,0.31611,0.76577,0.0017162,0.0017162,0.0017162
45,694.125,0.5599,0.30031,0.78291,0.99984,1,0.995,0.83864,0.69746,0.36375,0.77676,0.0017096,0.0017096,0.0017096
46,711.04,0.51266,0.28842,0.78122,0.99987,1,0.995,0.89773,0.47169,0.28482,0.76359,0.001703,0.001703,0.001703
47,725.17,0.51379,0.28545,0.77913,0.99987,1,0.995,0.8896,0.52021,0.29347,0.76724,0.0016964,0.0016964,0.0016964
48,742.115,0.51513,0.28214,0.77945,0.99987,1,0.995,0.87653,0.55573,0.29139,0.76963,0.0016898,0.0016898,0.0016898
49,756.248,0.5152,0.28203,0.78244,0.99988,1,0.995,0.89258,0.50686,0.27274,0.76624,0.0016832,0.0016832,0.0016832
50,771.196,0.49639,0.27403,0.77987,0.99988,1,0.995,0.89248,0.49098,0.27608,0.76664,0.0016766,0.0016766,0.0016766
51,787.263,0.49255,0.27633,0.77541,0.99986,1,0.995,0.8605,0.58282,0.28582,0.7686,0.00167,0.00167,0.00167
52,803.236,0.47956,0.26332,0.77669,0.99986,1,0.995,0.8963,0.47404,0.27268,0.76423,0.0016634,0.0016634,0.0016634
53,818.258,0.50405,0.27845,0.77887,0.99984,1,0.995,0.91815,0.4481,0.28661,0.76551,0.0016568,0.0016568,0.0016568
54,834.176,0.50578,0.2799,0.77748,0.99974,1,0.995,0.87246,0.54342,0.30419,0.76665,0.0016502,0.0016502,0.0016502
55,849.194,0.48491,0.2656,0.77529,0.9998,1,0.995,0.89576,0.51132,0.2744,0.76664,0.0016436,0.0016436,0.0016436
