epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.727,1.55035,2.10552,0.9843,0.03352,0.99813,0.06586,0.0265,1.48733,2.87198,0.87575,0.0006,0.0006,0.0006
2,193.702,1.25645,0.9703,0.87968,0.12202,0.99625,0.49942,0.23741,1.64381,2.22492,0.92448,0.00120792,0.00120792,0.00120792
3,289.907,1.13766,0.80899,0.86972,0.90723,0.90824,0.96113,0.67653,1.04571,1.45158,0.82103,0.00180357,0.00180357,0.00180357
4,379.451,1.10003,0.74976,0.86599,0.98232,0.98315,0.99421,0.72467,1.07158,0.69459,0.82972,0.0019406,0.0019406,0.0019406
5,455.864,1.18885,0.73624,0.85188,0.98554,0.98127,0.99324,0.76918,0.9044,0.6241,0.80903,0.0019208,0.0019208,0.0019208
6,534.61,1.07157,0.67062,0.84939,0.99069,0.99645,0.99485,0.76342,0.92647,0.60162,0.81239,0.001901,0.001901,0.001901
7,619.329,1.00532,0.62491,0.84718,0.98604,0.99813,0.99483,0.79566,0.85289,0.57004,0.79963,0.0018812,0.0018812,0.0018812
8,698.386,1.02358,0.62021,0.85502,0.99237,0.97423,0.99397,0.79473,0.76551,0.51791,0.79502,0.0018614,0.0018614,0.0018614
9,773.09,1.03704,0.59844,0.84209,0.9959,0.99625,0.99496,0.8442,0.6987,0.51172,0.79346,0.0018416,0.0018416,0.0018416
10,868.797,0.96288,0.57185,0.83315,0.99231,0.98689,0.99449,0.76736,0.877,0.51552,0.80552,0.0018218,0.0018218,0.0018218
11,960.634,0.86852,0.5139,0.83101,0.99608,1,0.99498,0.81191,0.76377,0.52035,0.78946,0.001802,0.001802,0.001802
12,1027.23,0.88718,0.51494,0.82273,0.99626,0.99798,0.99492,0.73441,0.90106,0.56647,0.80981,0.0017822,0.0017822,0.0017822
13,1101.25,0.863,0.51554,0.82427,0.99613,1,0.99492,0.81126,0.70253,0.47819,0.78736,0.0017624,0.0017624,0.0017624
14,1159.81,0.87607,0.50167,0.82197,0.99619,1,0.995,0.79407,0.82047,0.45583,0.79582,0.0017426,0.0017426,0.0017426
15,1265.73,0.81354,0.4605,0.82828,0.99557,1,0.99496,0.81717,0.75357,0.45138,0.78705,0.0017228,0.0017228,0.0017228
16,1334.3,0.87245,0.47332,0.82094,0.99585,1,0.99485,0.79274,0.7758,0.4395,0.78714,0.001703,0.001703,0.001703
17,1414.62,0.84867,0.47798,0.82408,0.99566,1,0.99498,0.79944,0.81917,0.45423,0.79239,0.0016832,0.0016832,0.0016832
